subcatchment_id,rain_gage_id,outlet_node,area,impervious_percent,width,slope,curb_length,snow_pack,polygon_points,subarea_params,infiltration_params,model_version,is_added
G72R642_8142,rg5425,G72R642,0.131,0.0,26.308000000000003,0.03,0.0,,"[[""583226.879"", ""6133183.471""], [""583213.569"", ""6133199.204""], [""583207.511"", ""6133202.081""], [""583205.324"", ""6133201.725""], [""583206.003"", ""6133209.963""], [""583303.333"", ""6133220.256""], [""583271.384"", ""6133208.354""], [""583226.879"", ""6133183.471""]]","[""G72R642_8142"", ""0.0011454141561189968"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R642_8142"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R645_8143,rg5425,G72R645,0.134,18.869999999999997,41.653,0.03,0.0,,"[[""583198.866"", ""6133249.873""], [""583198.880"", ""6133246.384""], [""583198.528"", ""6133240.958""], [""583195.965"", ""6133209.554""], [""583194.179"", ""6133208.316""], [""583193.156"", ""6133207.607""], [""583181.401"", ""6133226.598""], [""583181.262"", ""6133226.823""], [""583179.159"", ""6133230.221""], [""583179.135"", ""6133230.206""], [""583178.975"", ""6133230.099""], [""583178.773"", ""6133230.389""], [""583177.712"", ""6133231.909""], [""583162.048"", ""6133254.250""], [""583166.716"", ""6133257.523""], [""583194.542"", ""6133277.032""], [""583195.960"", ""6133272.048""], [""583197.103"", ""6133266.994""], [""583197.970"", ""6133261.885""], [""583198.555"", ""6133256.737""], [""583198.859"", ""6133251.565""], [""583198.866"", ""6133249.873""]]","[""G72R645_8143"", ""0.0018135143623545901"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R645_8143"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R646_8144,rg5425,G72R646,0.13699999999999998,35.190000000000005,51.301,0.03,0.0,,"[[""583235.596"", ""6133291.957""], [""583234.191"", ""6133275.236""], [""583222.310"", ""6133251.123""], [""583208.834"", ""6133250.272""], [""583208.831"", ""6133250.335""], [""583198.866"", ""6133249.873""], [""583198.859"", ""6133251.565""], [""583198.555"", ""6133256.737""], [""583197.970"", ""6133261.885""], [""583197.103"", ""6133266.994""], [""583195.960"", ""6133272.048""], [""583194.542"", ""6133277.032""], [""583201.977"", ""6133286.105""], [""583234.681"", ""6133298.651""], [""583235.596"", ""6133291.957""]]","[""G72R646_8144"", ""0.00223357501988219"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R646_8144"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R647_8145,rg5425,G72R647,0.025,66.41,72.714,0.03,0.0,,"[[""583201.977"", ""6133286.105""], [""583194.542"", ""6133277.032""], [""583192.951"", ""6133281.766""], [""583191.112"", ""6133286.409""], [""583189.031"", ""6133290.950""], [""583186.715"", ""6133295.374""], [""583184.169"", ""6133299.672""], [""583190.491"", ""6133308.058""], [""583193.846"", ""6133302.834""], [""583196.884"", ""6133297.422""], [""583199.598"", ""6133291.838""], [""583201.977"", ""6133286.105""]]","[""G72R647_8145"", ""0.0031658676048364268"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R647_8145"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R648_8146,rg5425,G72R648,0.112,30.880000000000003,28.468000000000004,0.03,0.0,,"[[""583190.491"", ""6133308.058""], [""583184.169"", ""6133299.672""], [""583152.655"", ""6133277.577""], [""583138.881"", ""6133297.223""], [""583167.502"", ""6133317.288""], [""583172.425"", ""6133316.423""], [""583176.932"", ""6133309.995""], [""583185.332"", ""6133315.428""], [""583194.280"", ""6133321.702""], [""583199.109"", ""6133314.100""], [""583190.491"", ""6133308.058""]]","[""G72R648_8146"", ""0.0012394575869087577"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R648_8146"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R649_8147,rg5425,G72R649,0.154,44.69,31.594,0.03,0.0,,"[[""583185.332"", ""6133315.428""], [""583176.932"", ""6133309.995""], [""583172.425"", ""6133316.423""], [""583167.502"", ""6133317.288""], [""583161.494"", ""6133325.286""], [""583161.762"", ""6133325.474""], [""583162.627"", ""6133330.398""], [""583151.181"", ""6133346.723""], [""583153.767"", ""6133360.449""], [""583184.006"", ""6133381.650""], [""583199.329"", ""6133359.428""], [""583169.262"", ""6133338.348""], [""583185.332"", ""6133315.428""]]","[""G72R649_8147"", ""0.0013755593298017171"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R649_8147"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R650_8148,rg5425,G72R650,0.354,45.89000000000001,283.565,0.03,0.0,,"[[""583167.502"", ""6133317.288""], [""583138.881"", ""6133297.223""], [""583152.655"", ""6133277.577""], [""583122.662"", ""6133256.548""], [""583109.821"", ""6133275.002""], [""583106.370"", ""6133279.962""], [""583102.425"", ""6133285.632""], [""583086.415"", ""6133308.640""], [""583112.949"", ""6133327.244""], [""583116.392"", ""6133322.332""], [""583151.181"", ""6133346.723""], [""583162.627"", ""6133330.398""], [""583161.762"", ""6133325.474""], [""583161.494"", ""6133325.286""], [""583167.502"", ""6133317.288""]]","[""G72R650_8148"", ""0.012346030301804898"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R650_8148"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R651_8149,rg5425,G72R651,0.132,36.84,27.918000000000006,0.03,0.0,,"[[""583153.767"", ""6133360.449""], [""583151.181"", ""6133346.723""], [""583116.392"", ""6133322.332""], [""583112.949"", ""6133327.244""], [""583102.906"", ""6133341.568""], [""583137.695"", ""6133365.959""], [""583136.201"", ""6133368.363""], [""583134.988"", ""6133370.922""], [""583134.073"", ""6133373.601""], [""583133.466"", ""6133376.367""], [""583133.176"", ""6133379.184""], [""583133.206"", ""6133382.015""], [""583143.256"", ""6133381.716""], [""583143.147"", ""6133380.456""], [""583143.307"", ""6133378.141""], [""583143.823"", ""6133375.877""], [""583144.682"", ""6133373.720""], [""583145.863"", ""6133371.722""], [""583153.767"", ""6133360.449""]]","[""G72R651_8149"", ""0.0012155113429576613"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R651_8149"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R653_8150,rg5425,G72R653,0.336,43.260000000000005,177.903,0.03,0.0,,"[[""583184.006"", ""6133381.650""], [""583153.767"", ""6133360.449""], [""583145.863"", ""6133371.722""], [""583144.682"", ""6133373.720""], [""583143.823"", ""6133375.877""], [""583143.307"", ""6133378.141""], [""583143.147"", ""6133380.456""], [""583143.256"", ""6133381.716""], [""583133.206"", ""6133382.015""], [""583133.468"", ""6133384.307""], [""583133.940"", ""6133386.566""], [""583092.282"", ""6133403.224""], [""583094.527"", ""6133405.557""], [""583130.684"", ""6133443.121""], [""583159.378"", ""6133416.262""], [""583166.086"", ""6133408.902""], [""583175.428"", ""6133398.728""], [""583179.196"", ""6133388.623""], [""583184.006"", ""6133381.650""]]","[""G72R653_8150"", ""0.00774565206842169"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R653_8150"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72F316_7958,rg5425,G72F316,0.055,73.43000000000002,12.944,0.03,0.0,,"[[""583135.564"", ""6132943.943""], [""583135.588"", ""6132943.924""], [""583110.779"", ""6132911.003""], [""583106.731"", ""6132905.553""], [""583098.189"", ""6132912.926""], [""583106.648"", ""6132924.419""], [""583125.974"", ""6132951.357""], [""583135.564"", ""6132943.943""]]","[""G72F316_7958"", ""0.000563563966732716"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72F316_7958"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
