forecast_time,target_time,rain_gage_id,forecast_horizon_min,forecast_rainfall_mm,source
2017-06-29,2017-06-29 02:13:00,rg5425,133,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:14:00,rg5425,134,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:15:00,rg5425,135,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:16:00,rg5425,136,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:17:00,rg5425,137,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:18:00,rg5425,138,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:19:00,rg5425,139,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:20:00,rg5425,140,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:21:00,rg5425,141,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:22:00,rg5425,142,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:23:00,rg5425,143,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:24:00,rg5425,144,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:25:00,rg5425,145,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:26:00,rg5425,146,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:27:00,rg5425,147,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:28:00,rg5425,148,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:29:00,rg5425,149,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:30:00,rg5425,150,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:31:00,rg5425,151,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:32:00,rg5425,152,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:33:00,rg5425,153,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:34:00,rg5425,154,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:35:00,rg5425,155,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:36:00,rg5425,156,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:37:00,rg5425,157,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:38:00,rg5425,158,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:39:00,rg5425,159,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:40:00,rg5425,160,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:41:00,rg5425,161,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:42:00,rg5425,162,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:43:00,rg5425,163,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:44:00,rg5425,164,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:45:00,rg5425,165,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:46:00,rg5425,166,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:47:00,rg5425,167,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:48:00,rg5425,168,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:49:00,rg5425,169,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:50:00,rg5425,170,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:51:00,rg5425,171,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:52:00,rg5425,172,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:53:00,rg5425,173,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:54:00,rg5425,174,0.0,historical_window_minutely
